Id2,Geography,Total; Estimate; Households,Total; Estimate; Population 18 to 24 years,Gross Rent,Housing Units,Pop,Total for all sectors,Year,"Agriculture, forestry, fishing and hunting_norm","Mining, quarrying, and oil and gas extraction_norm",Utilities_norm,Construction_norm,Manufacturing_norm,Wholesale trade_norm,Retail trade_norm,Transportation and warehousing_norm,Information_norm,Finance and insurance_norm,Real estate and rental and leasing_norm,"Professional, scientific, and technical services_norm",Management of companies and enterprises_norm,Administrative and support and waste management and remediation services_norm,Educational services_norm,Health care and social assistance_norm,"Arts, entertainment, and recreation_norm",Accommodation and food services_norm,Other services (except public administration)_norm,Industries not classified_norm,Pop norm travel time,Est_%_change
13900,"Bismarck, ND Metro Area",46991,11455,12895,49783,113875,3753,2012,0.001598721,0.005861977,0.006128431,0.135624833,0.030109246,0.053823608,0.128430589,0.054090061,0.016520117,0.076472156,0.046629363,0.098054889,0.005861977,0.047695177,0.009592326,0.091393552,0.015454303,0.062083666,0.113775646,0.000799361,10.47192097,0.077210103
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",63346,39661,26449,71317,165969,3502,2012,0.003712164,0.001713307,0.00256996,0.100228441,0.042547116,0.03083952,0.165048544,0.02312964,0.017704169,0.056539121,0.042261565,0.104797259,0.001713307,0.039977156,0.010565391,0.106225014,0.014848658,0.106796117,0.127926899,0.000856653,8.256481632,0.096774194
14020,"Bloomington, IN Metro Area",76163,45151,30052,84680,195339,3236,2012,0.002163164,0.002472188,0.005562423,0.093325093,0.037391842,0.03368356,0.152966625,0.021322621,0.019159456,0.056860321,0.051915946,0.096724351,0.009888752,0.050679852,0.018541409,0.10815822,0.013906057,0.118665019,0.106304079,0.000309023,9.514254706,-0.16035288
14500,"Boulder, CO Metro Area",121743,46636,47104,128106,305318,11543,2012,0.001472754,0.00233908,0.001299489,0.065234341,0.046608334,0.042709867,0.101360132,0.007537035,0.022611106,0.05683098,0.055878021,0.234427792,0.004158364,0.047994456,0.022177943,0.1166941,0.020185394,0.075456987,0.074330763,0.000693061,10.5116305,0.010859094
14540,"Bowling Green, KY Metro Area",50137,20115,21549,54563,128016,3318,2012,0.000602773,0.005123568,0.001506932,0.084388186,0.041892706,0.048824593,0.184448463,0.029837251,0.013562387,0.066907776,0.039783002,0.06992164,0.008740205,0.04822182,0.00994575,0.135021097,0.013261001,0.091621459,0.105485232,0.000904159,8.242875891,0.148494289
14740,"Bremerton-Silverdale, WA Metro Area",97027,26609,30666,108094,254991,5567,2012,0.005927789,0.00035926,0.00197593,0.126998383,0.029638944,0.031255613,0.132028022,0.017603736,0.014011137,0.054607509,0.059996407,0.126818753,0.003233339,0.058200108,0.017424106,0.122507634,0.017244476,0.084426082,0.09538351,0.00035926,12.52234393,0.004692294
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",334255,76834,106036,361427,933835,26814,2012,0.000708585,0.000559409,0.001678228,0.081711046,0.031289625,0.051092713,0.128999776,0.017192511,0.020660849,0.090922652,0.039009473,0.1288506,0.010964422,0.070709331,0.017378981,0.105206236,0.020884613,0.084992914,0.096330275,0.000857761,12.67953653,0.003330215
15180,"Brownsville-Harlingen, TX Metro Area",121179,43567,43254,144029,415557,6335,2012,0.005840568,0.000789266,0.002052092,0.050513023,0.032675612,0.054143646,0.177584846,0.048145225,0.011681137,0.07261247,0.049250197,0.075927388,0.004735596,0.036937648,0.009944751,0.160220994,0.010418311,0.106708761,0.08887135,0.000947119,6.70454354,0.007955449
15260,"Brunswick, GA Metro Area",41858,10355,13764,58206,111088,2777,2012,0.006481815,0.001440403,0.005041412,0.081382787,0.025207058,0.031688873,0.198415556,0.02592726,0.014404033,0.061217141,0.054375225,0.105869644,0.003601008,0.057256032,0.007922218,0.104789341,0.011883327,0.106589845,0.09578682,0.000720202,9.259190912,0.004703329
15500,"Burlington, NC Metro Area",59520,16926,21504,67544,153920,3165,2012,0.000947867,0.001263823,0.001579779,0.091943128,0.063823065,0.051816746,0.194628752,0.021169036,0.010742496,0.056556082,0.036966825,0.071090047,0.009478673,0.042654028,0.012006319,0.11943128,0.015797788,0.093838863,0.10300158,0.001263823,9.888675936,0.003805899
